index,seasonal
2016-01-01,0.7243647450400094
2016-01-02,0.7479321210240073
2016-01-03,0.7395779079229019
2016-01-04,0.7355341678924511
2016-01-05,0.8019154327677106
2016-01-06,0.8564086759044981
2016-01-07,0.8371057010431527
2016-01-08,0.7916926495200886
2016-01-09,0.701559747744148
2016-01-10,0.6329946261374718
2016-01-11,0.5369192577684846
2016-01-12,0.4417347141668515
2016-01-13,0.4011641764205489
2016-01-14,0.4048750895872828
2016-01-15,0.35773520136176584
2016-01-16,0.2847679347820574
2016-01-17,-0.008133211344175956
2016-01-18,-0.17628209926479857
2016-01-19,-0.3062615740851781
2016-01-20,-0.3923115563584941
2016-01-21,-0.4774840151028344
2016-01-22,-0.4597225735018656
2016-01-23,-0.5079085114185755
2016-01-24,-0.5842771537374145
2016-01-25,-0.7308149932783224
2016-01-26,-0.7999706004678573
2016-01-27,-0.8264830951962945
2016-01-28,-0.7790043310345506
2016-01-29,-0.7660543351206092
2016-01-30,-0.8589901127537195
2016-01-31,-0.9145194581249876
2016-02-01,-0.8884883764126174
2016-02-02,-0.8676166701174398
2016-02-03,-0.8548884413223864
2016-02-04,-0.9307143587585541
2016-02-05,-1.0288382822292672
2016-02-06,-1.0805527185523813
2016-02-07,-1.1029234785829771
2016-02-08,-1.0869770887582628
2016-02-09,-1.0473202551981176
2016-02-10,-1.0022143013850109
2016-02-11,-0.9946548184453167
2016-02-12,-0.9943186248088315
2016-02-13,-0.974747122839278
2016-02-14,-0.9393386830128816
2016-02-15,-0.879105239291108
2016-02-16,-0.8497919410919329
2016-02-17,-0.8035543493034701
2016-02-18,-0.7984044021807404
2016-02-19,-0.7781343445542762
2016-02-20,-0.7763424732191552
2016-02-21,-0.7556383740896262
2016-02-22,-0.7536686441055801
2016-02-23,-0.736517364029512
2016-02-24,-0.713224060354341
2016-02-25,-0.7233018286381464
2016-02-26,-0.7088451327368374
2016-02-27,-0.6859196012097853
2016-02-28,-0.6400788318982841
2016-02-29,-0.5934962285624815
2016-03-01,-0.5892671589091223
2016-03-02,-0.5944387883695311
2016-03-03,-0.5813590209988216
2016-03-04,-0.561847868899562
2016-03-05,-0.558530647440943
2016-03-06,-0.5680834410104718
2016-03-07,-0.5806230447473608
2016-03-08,-0.5698124058742885
2016-03-09,-0.5603386613199987
2016-03-10,-0.5504146849635684
2016-03-11,-0.5750658524156372
2016-03-12,-0.5043912188167684
2016-03-13,-0.49443484358918366
2016-03-14,-0.4685951670198662
2016-03-15,-0.43781140790490797
2016-03-16,-0.4059893064314646
2016-03-17,-0.38419677615808095
2016-03-18,-0.3842470542147784
2016-03-19,-0.3921803492341805
2016-03-20,-0.40410866707000376
2016-03-21,-0.37275584114971894
2016-03-22,-0.3843603502555753
2016-03-23,-0.40971466877909474
2016-03-24,-0.36901255871645855
2016-03-25,-0.3541497127305142
2016-03-26,-0.3659299732595634
2016-03-27,-0.35422851930410676
2016-03-28,-0.34842310004305294
2016-03-29,-0.29937766728421733
2016-03-30,-0.27201021064583614
2016-03-31,-0.29325088179377506
2016-04-01,-0.29372200582249713
2016-04-02,-0.2897176063349896
2016-04-03,-0.3017206051434771
2016-04-04,-0.3424024373926055
2016-04-05,-0.31645360476820406
2016-04-06,-0.31638077600378506
2016-04-07,-0.3233349158572446
2016-04-08,-0.3329738095136035
2016-04-09,-0.3434195181037092
2016-04-10,-0.32412563860366067
2016-04-11,-0.2744465459259413
2016-04-12,-0.22960301039952044
2016-04-13,-0.21913622212766967
2016-04-14,-0.23022039962563876
2016-04-15,-0.20151987322816609
2016-04-16,-0.2033297203583596
2016-04-17,-0.17049598291186382
2016-04-18,-0.13143534992543185
2016-04-19,-0.15237301720402774
2016-04-20,-0.1558420897091517
2016-04-21,-0.1477580941822457
2016-04-22,-0.1638749837651676
2016-04-23,-0.16465139292478317
2016-04-24,-0.18252899940586353
2016-04-25,-0.14799865924042918
2016-04-26,-0.09095105133346149
2016-04-27,-0.1353999612085475
2016-04-28,-0.14799568814095831
2016-04-29,-0.1671072384358502
2016-04-30,-0.20963169037798346
2016-05-01,-0.12344678025329235
2016-05-02,-0.0797614730441627
2016-05-03,-0.04741627157665033
2016-05-04,0.12003572035604725
2016-05-05,0.16919232569485146
2016-05-06,0.15449834074842841
2016-05-07,0.18073752338294988
2016-05-08,0.18787189163270748
2016-05-09,0.22567066343166162
2016-05-10,0.3008739591948381
2016-05-11,0.36209479390781757
2016-05-12,0.39535052104451057
2016-05-13,0.3897755124296807
2016-05-14,0.4026754550213847
2016-05-15,0.3899746392385141
2016-05-16,0.40671410616179715
2016-05-17,0.42167410783781345
2016-05-18,0.4419655002737181
2016-05-19,0.48669643375327026
2016-05-20,0.4912048065556697
2016-05-21,0.4831398470366392
2016-05-22,0.44458069267162165
2016-05-23,0.42745654165334873
2016-05-24,0.5190089292253762
2016-05-25,0.6060802062860903
2016-05-26,0.6544834583350833
2016-05-27,0.6612021416961426
2016-05-28,0.7015474406312596
2016-05-29,0.6466722781896306
2016-05-30,0.6630764984514944
2016-05-31,0.68993895774174
2016-06-01,0.7354360535527721
2016-06-02,0.7709993366920994
2016-06-03,0.7912707340497677
2016-06-04,0.7995957127938772
2016-06-05,0.8198416274090237
2016-06-06,0.8603493036411017
2016-06-07,0.96154496378752
2016-06-08,1.067491454337498
2016-06-09,1.0871309122666903
2016-06-10,1.0659220226102613
2016-06-11,1.0625872468960182
2016-06-12,1.0655095104727854
2016-06-13,1.0804337367613688
2016-06-14,1.1039484060614904
2016-06-15,1.092376980420669
2016-06-16,1.1050987246203674
