index,mean,std
2016-01-01,53.67256289308175,32.60126166633192
2016-01-02,54.190815925426776,32.55172695541081
2016-01-03,53.2278807277628,32.256060009273966
2016-01-04,52.24450527852652,32.001388137722124
2016-01-05,52.21217711141056,32.08561320979248
2016-01-06,51.9686404986523,32.30197528727698
2016-01-07,51.56771394878705,31.826056787640162
2016-01-08,51.36607704402516,31.620033850546033
2016-01-09,51.86771816037734,31.621626274556757
2016-01-10,52.257452643006886,31.602439759701095
2016-01-11,51.27163025980832,31.32677717657477
2016-01-12,48.673636380652866,30.09671805967337
2016-01-13,47.89775335055408,29.732869334342283
2016-01-14,47.0453373015873,29.413961799155015
2016-01-15,46.62003611888638,29.280699112040182
2016-01-16,46.71907605628126,29.21633465190502
2016-01-17,46.50273512192734,29.3281922293296
2016-01-18,46.1038722873039,29.410708787407465
2016-01-19,45.167667280963265,28.962331479764355
2016-01-20,43.873345391505765,28.401573576452016
2016-01-21,42.79976511630403,28.11914764962616
2016-01-22,42.28987812501961,27.980115134389845
2016-01-23,42.21982716248634,27.914508343489466
2016-01-24,41.040430213130676,27.50409202014527
2016-01-25,39.67981368081605,26.817781860494403
2016-01-26,39.011329557497,26.4421922020895
2016-01-27,39.34664428862542,26.827140961095786
2016-01-28,39.41809633631568,26.945132021900452
2016-01-29,40.00913695842941,27.278893665921398
2016-01-30,41.042615920505085,27.808440947829574
2016-01-31,40.93165205470629,27.797359950877638
2016-02-01,40.59707052643375,27.704050484880288
2016-02-02,40.52559342518069,27.47604850443457
2016-02-03,40.83947785704862,27.551766109339308
2016-02-04,40.85505962084357,27.613765047122282
2016-02-05,41.127973295390255,26.923424236161374
2016-02-06,41.59678428540969,26.693729288448854
2016-02-07,41.42914723709434,26.53689926245511
2016-02-08,41.17302748437643,26.292098282143858
2016-02-09,40.889433188382114,25.875743631318326
2016-02-10,40.80375116748167,25.678217849521978
2016-02-11,41.36645470363427,25.652221602409053
2016-02-12,41.78764693400666,25.8090812178088
2016-02-13,42.256953466264896,26.11716806991914
2016-02-14,42.49619945372206,26.183147411608598
2016-02-15,42.488981031466224,26.153175304005007
2016-02-16,42.314814233948304,26.033920147458442
2016-02-17,42.561569681114484,26.02730645248185
2016-02-18,42.979287149095235,26.035244051251876
2016-02-19,43.20498755727171,26.28111048823831
2016-02-20,42.93198607116846,25.760689073628665
2016-02-21,42.30327511502788,25.38895044808402
2016-02-22,42.76670158775825,25.407822160608365
2016-02-23,43.21330142673775,25.726305672464605
2016-02-24,43.502054519957795,25.917134913993475
2016-02-25,43.5039683648999,25.659371606448477
2016-02-26,43.87368787019937,25.656521292481315
2016-02-27,44.05451116950355,25.378461166238957
2016-02-28,44.09913070271009,25.375354380472174
2016-02-29,44.13541035122063,25.384359648404395
2016-03-01,44.33310434534364,25.49326625707765
2016-03-02,44.55665937570501,25.259312996672115
2016-03-03,44.77965890156044,25.16165374166654
2016-03-04,45.224496706752745,25.31697957427695
2016-03-05,45.458957919198184,25.296523934143362
2016-03-06,45.28307298211705,25.15592521316286
2016-03-07,44.77214153036081,24.82141748981013
2016-03-08,44.94283648416972,24.843897927369103
2016-03-09,45.10019322238188,24.984596623013946
2016-03-10,44.937110644930655,26.09989903951728
2016-03-11,46.54237898489046,25.778517302240616
2016-03-12,46.78404576001045,25.577693638422954
2016-03-13,46.78889303775876,25.45936530380335
2016-03-14,47.235712308706844,25.296494268024478
2016-03-15,46.601404183728036,24.81653245883422
2016-03-16,47.25108495376399,24.974984066973544
2016-03-17,47.22227074197367,25.042925112469796
2016-03-18,47.47354506717044,25.08066337682299
2016-03-19,47.66054254303733,25.163011796361808
2016-03-20,47.78067306772119,25.28443229367202
2016-03-21,48.28340099252181,25.62423314825295
2016-03-22,48.32476932238382,25.82773666512157
2016-03-23,48.203006478473974,25.902415362552468
2016-03-24,48.06070885618739,25.985725601355924
2016-03-25,47.74380571952528,25.762063068732978
2016-03-26,47.325683237481016,25.57183573519135
2016-03-27,47.22640855792255,25.63445365501025
2016-03-28,47.22564935659659,25.721944420708876
2016-03-29,47.781393786597334,25.99380012549541
2016-03-30,47.82830106645785,26.16246562303123
2016-03-31,48.04056755818495,26.455657401979117
2016-04-01,47.93310018938673,26.062636870182153
2016-04-02,48.05484426689895,26.203799880133428
2016-04-03,48.33047657816385,26.40951117157325
2016-04-04,48.19828047897652,26.381191936180286
2016-04-05,49.52583280746211,26.85514736116132
2016-04-06,48.97955876577701,26.270172162791773
2016-04-07,49.19869940733224,26.385394409071917
2016-04-08,50.84629893931574,26.77341253138191
2016-04-09,52.33183749768167,27.674397479244725
2016-04-10,52.38672299579544,27.594106629175286
2016-04-11,52.627332266337,27.777096426052008
2016-04-12,52.731977831427876,27.57999493929493
2016-04-13,53.034482972739134,27.531107219433704
2016-04-14,53.31528064175329,27.577648794117245
2016-04-15,53.54609342929676,27.68666275305395
2016-04-16,53.756567979343934,27.99938479445458
2016-04-17,53.69921416573433,27.895013791759112
2016-04-18,53.716088695191495,27.718118985360157
2016-04-19,53.51988593898887,27.519467523042973
2016-04-20,52.96106142953947,27.011272739218494
2016-04-21,52.70881355231529,26.732754536754257
2016-04-22,52.65427690974217,26.649352960443878
2016-04-23,52.9162754386276,26.686827862706757
2016-04-24,52.834866757931124,26.64785189255628
2016-04-25,52.95082442943587,26.74440423015871
2016-04-26,52.818503132742535,26.810160760177194
2016-04-27,52.76758906875357,26.955528376958675
2016-04-28,52.77049819284487,27.129822178026416
2016-04-29,52.82309191561845,27.303728757541982
2016-04-30,52.76704664570233,27.288360859119305
