index,seasonal
2016-01-01,0.34111748451443863
2016-01-02,0.4595124840456057
2016-01-03,0.6204583763636247
2016-01-04,0.7164518116041991
2016-01-05,0.7448336623380611
2016-01-06,0.7327294895444972
2016-01-07,0.767423162922566
2016-01-08,0.7633029962067917
2016-01-09,0.892221112659392
2016-01-10,1.025368573961375
2016-01-11,1.177667143960173
2016-01-12,1.2093790981254158
2016-01-13,1.1336529839620761
2016-01-14,1.0439830181472745
2016-01-15,1.1472801249901643
2016-01-16,1.1841639065263136
2016-01-17,1.2639708816237838
2016-01-18,1.2802315875345542
2016-01-19,1.2860837689866804
2016-01-20,1.2373949040066263
2016-01-21,1.112424718574701
2016-01-22,0.9844108064374271
2016-01-23,0.8553592867712129
2016-01-24,1.0343018187104736
2016-01-25,1.2589718835203216
2016-01-26,1.2519761047184401
2016-01-27,1.18648516818099
2016-01-28,0.9584653684314375
2016-01-29,0.8953567042834998
2016-01-30,0.9927434148812763
2016-01-31,1.113298605164936
2016-02-01,1.050733152063819
2016-02-02,0.9956208329799263
2016-02-03,0.9514538508126779
2016-02-04,0.8617356846033881
2016-02-05,0.8070193701932677
2016-02-06,0.761003767546314
2016-02-07,0.6819934511206998
2016-02-08,0.611516106542311
2016-02-09,0.4755773944069105
2016-02-10,0.38131669324420436
2016-02-11,0.26345626268929956
2016-02-12,0.20821347223883968
2016-02-13,0.16843203209981117
2016-02-14,0.0032387032760931717
2016-02-15,-0.058686801321249565
2016-02-16,-0.1328085507627318
2016-02-17,-0.3098326856462296
2016-02-18,-0.39600815772996306
2016-02-19,-0.4638687706764066
2016-02-20,-0.4731749365972156
2016-02-21,-0.5132065143459205
2016-02-22,-0.6099146590016957
2016-02-23,-0.6471718664813084
2016-02-24,-0.657537086382297
2016-02-25,-0.7075580412405681
2016-02-26,-0.6909420724473377
2016-02-27,-0.711589829854353
2016-02-28,-0.779130807086431
2016-02-29,-0.8035957246547409
2016-03-01,-0.8441077278991075
2016-03-02,-0.9030676191679263
2016-03-03,-0.9253277604255101
2016-03-04,-0.9028895833415578
2016-03-05,-0.8528560401497965
2016-03-06,-0.8641861823171266
2016-03-07,-0.9099473512864065
2016-03-08,-0.8193284244714778
2016-03-09,-0.8347824851453671
2016-03-10,-0.8247615945225957
2016-03-11,-0.8558754857384041
2016-03-12,-0.8275965482040142
2016-03-13,-0.8053680134489568
2016-03-14,-0.7936589827915148
2016-03-15,-0.7379966818484923
2016-03-16,-0.7459268077469878
2016-03-17,-0.7435837401649256
2016-03-18,-0.7076454858499226
2016-03-19,-0.6973529752329761
2016-03-20,-0.669848043171772
2016-03-21,-0.6149589257547154
2016-03-22,-0.5793558260065865
2016-03-23,-0.5942493871124764
2016-03-24,-0.5841595594917233
2016-03-25,-0.5401197021107432
2016-03-26,-0.5006661456553814
2016-03-27,-0.4568726676753801
2016-03-28,-0.49995033361903674
2016-03-29,-0.5341011900227439
2016-03-30,-0.5892144600230993
2016-03-31,-0.6086264345665652
2016-04-01,-0.6678032045721496
2016-04-02,-0.6372178787196644
2016-04-03,-0.5516683678465933
2016-04-04,-0.5357413094858786
2016-04-05,-0.4602417929408829
2016-04-06,-0.44190174950537625
2016-04-07,-0.45440247546297863
2016-04-08,-0.4797666076070318
2016-04-09,-0.4413160273072489
2016-04-10,-0.42790839911510853
2016-04-11,-0.46318629287537594
2016-04-12,-0.4680851878607323
2016-04-13,-0.4943926641256652
2016-04-14,-0.4859555875840731
2016-04-15,-0.4888674863911642
2016-04-16,-0.5032303350123969
2016-04-17,-0.5000795425670426
2016-04-18,-0.6215875710445002
2016-04-19,-0.6859615571475293
2016-04-20,-0.6793407779218966
2016-04-21,-0.6468461740187923
2016-04-22,-0.6007682858213075
2016-04-23,-0.6371381533115081
2016-04-24,-0.6378719092548649
2016-04-25,-0.6201413365881081
2016-04-26,-0.639007441247729
2016-04-27,-0.650755980453163
2016-04-28,-0.6179588469341898
2016-04-29,-0.6369609169120047
2016-04-30,-0.6400709840977526
2016-05-01,-0.6096474219429006
2016-05-02,-0.6181658242484678
2016-05-03,-0.5565736905030256
2016-05-04,-0.5440279617061122
2016-05-05,-0.5532102158118868
2016-05-06,-0.5684130102708935
2016-05-07,-0.5602918076354306
2016-05-08,-0.5702561583768563
2016-05-09,-0.5704057387546758
2016-05-10,-0.5894694517989354
2016-05-11,-0.5398747708569009
2016-05-12,-0.528310026807296
2016-05-13,-0.4858039009833135
2016-05-14,-0.5142655039343663
2016-05-15,-0.4260724429678166
2016-05-16,-0.4253919785773332
2016-05-17,-0.42590966461302326
2016-05-18,-0.5045746715896307
2016-05-19,-0.5656258228212552
2016-05-20,-0.6137554367560185
2016-05-21,-0.6037520789309752
2016-05-22,-0.6636726724703338
2016-05-23,-0.7267593393599207
2016-05-24,-0.7354907495600538
2016-05-25,-0.9494135889592813
2016-05-26,-0.9997647523258936
2016-05-27,-0.8857557071163985
2016-05-28,-0.7970791895248742
2016-05-29,-0.7577612139934066
2016-05-30,-0.7444202805395186
2016-05-31,-0.753466366102935
2016-06-01,-0.8014631330716935
2016-06-02,-0.8106218820984474
2016-06-03,-0.8139314364691745
2016-06-04,-0.8065227685199857
2016-06-05,-0.7614886670286897
2016-06-06,-0.7439842606644533
2016-06-07,-0.7579103388574235
2016-06-08,-0.7883192322505639
2016-06-09,-0.8175387952435403
2016-06-10,-0.8357674532500444
2016-06-11,-0.820541045350764
2016-06-12,-0.8505275804040374
2016-06-13,-0.903417032625121
2016-06-14,-0.8661532705969017
2016-06-15,-0.8854298893781942
2016-06-16,-0.8862525062883619
