index,seasonal
2016-01-01,-0.616561124305785
2016-01-02,-0.6307006169143784
2016-01-03,-0.8845343936572904
2016-01-04,-1.2969294916669794
2016-01-05,-1.49900476256886
2016-01-06,-1.611227996305024
2016-01-07,-1.6276364421774046
2016-01-08,-1.6661619517136033
2016-01-09,-1.8948539707803227
2016-01-10,-2.2170847838688204
2016-01-11,-2.42727951698183
2016-01-12,-2.4265652140039657
2016-01-13,-2.3311025937603804
2016-01-14,-2.1569507635423704
2016-01-15,-2.0434785781294487
2016-01-16,-2.081954026337173
2016-01-17,-2.1305185523312895
2016-01-18,-2.2580322430020927
2016-01-19,-2.335519415582897
2016-01-20,-2.2503549994395846
2016-01-21,-2.058067423167204
2016-01-22,-1.8897527154572316
2016-01-23,-1.8422668828164537
2016-01-24,-1.9671166033174088
2016-01-25,-1.9858184261384164
2016-01-26,-1.8472143343345055
2016-01-27,-1.6401911152258069
2016-01-28,-1.3935610726210483
2016-01-29,-1.2557648706063282
2016-01-30,-1.2262996905861552
2016-01-31,-1.1861150711468451
2016-02-01,-1.1142175938611456
2016-02-02,-0.9744343105673089
2016-02-03,-0.8074012073702277
2016-02-04,-0.6062778911833241
2016-02-05,-0.47177836057008826
2016-02-06,-0.4217912870970886
2016-02-07,-0.414100534823814
2016-02-08,-0.3641623588073294
2016-02-09,-0.2616936813802703
2016-02-10,-0.14339395357191587
2016-02-11,0.011537105958970367
2016-02-12,0.1043541535071809
2016-02-13,0.1409050539367321
2016-02-14,0.13936870982541794
2016-02-15,0.08874058727438647
2016-02-16,0.1261451577870306
2016-02-17,0.1970058277674955
2016-02-18,0.278011921520381
2016-02-19,0.3646729969906948
2016-02-20,0.4099086920411076
2016-02-21,0.4276627831240408
2016-02-22,0.3889625911012017
2016-02-23,0.40824383445351886
2016-02-24,0.48885898474341694
2016-02-25,0.5322440293095249
2016-02-26,0.6184692775750215
2016-02-27,0.6283835093415039
2016-02-28,0.5906450738629717
2016-02-29,0.570080167925202
2016-03-01,0.600142785534631
2016-03-02,0.6080752643888255
2016-03-03,0.6540209127337108
2016-03-04,0.7106599376129533
2016-03-05,0.7043132527675778
2016-03-06,0.7082668695801915
2016-03-07,0.6587522460501677
2016-03-08,0.6794052634043117
2016-03-09,0.6866081807133254
2016-03-10,0.7373583755035237
2016-03-11,0.7933723983252707
2016-03-12,0.7853622192162572
2016-03-13,0.7769852427920457
2016-03-14,0.7493877548738533
2016-03-15,0.7788885095902929
2016-03-16,0.7965522506544853
2016-03-17,0.8066376011118259
2016-03-18,0.836304172443643
2016-03-19,0.82190897396917
2016-03-20,0.7873312230269897
2016-03-21,0.7552289527639187
2016-03-22,0.7999502904777214
2016-03-23,0.7923368176605883
2016-03-24,0.8083398353010169
2016-03-25,0.8287073552226079
2016-03-26,0.7728552443697784
2016-03-27,0.7397256779611534
2016-03-28,0.6979222154007
2016-03-29,0.6618726793378676
2016-03-30,0.6778879139472757
2016-03-31,0.688991764074974
2016-04-01,0.6712561884753548
2016-04-02,0.5757155244737852
2016-04-03,0.40315815103644537
2016-04-04,0.2948782396146379
2016-04-05,0.38228202665029226
2016-04-06,0.5092135862241255
2016-04-07,0.6249434755953801
2016-04-08,0.7375623518560276
2016-04-09,0.782088069275003
2016-04-10,0.8097502307551024
2016-04-11,0.8324139706565595
2016-04-12,0.839964721914579
2016-04-13,0.8842402378025903
2016-04-14,0.9044613707955701
2016-04-15,0.9435765609235536
2016-04-16,0.994770983590498
2016-04-17,0.9799042860170181
2016-04-18,0.9535690511668676
2016-04-19,0.9492711808083029
2016-04-20,0.9387195640875557
2016-04-21,0.8988329018578513
2016-04-22,0.8836665521349842
2016-04-23,0.874717992154939
2016-04-24,0.8510001856306505
2016-04-25,0.8043867827473409
2016-04-26,0.7909426809251437
2016-04-27,0.7578647669944392
2016-04-28,0.7451690358031097
2016-04-29,0.7623662325589186
2016-04-30,0.729907656250714
2016-05-01,0.6263680788879862
2016-05-02,0.5625685819014029
2016-05-03,0.5268550782368943
2016-05-04,0.46876870369925083
2016-05-05,0.4410313047837342
2016-05-06,0.4463787517223141
2016-05-07,0.3750130108884329
2016-05-08,0.27980684306376946
2016-05-09,0.14739467528884048
2016-05-10,0.12980076720089345
2016-05-11,0.11225528441595753
2016-05-12,0.14641556937409325
2016-05-13,0.12494771849772972
2016-05-14,0.023882228041769326
2016-05-15,-0.12371759350506299
2016-05-16,-0.23313400640243223
2016-05-17,-0.18868187334244843
2016-05-18,-0.1147877331785058
2016-05-19,-0.04107946514314259
2016-05-20,0.006982940418140813
2016-05-21,-0.01166351109675209
2016-05-22,-0.10288402581311284
2016-05-23,-0.17984385421194246
2016-05-24,-0.11414424078222371
2016-05-25,-0.07141491485932427
2016-05-26,0.0002454194199031012
2016-05-27,0.09103486304794293
2016-05-28,0.15171959707462088
2016-05-29,0.04278505286316284
2016-05-30,-0.11030024893869031
2016-05-31,-0.22480457588102848
2016-06-01,-0.18744900215951318
2016-06-02,-0.08370937924307364
2016-06-03,0.002520258608700922
2016-06-04,-0.04901459663074691
2016-06-05,-0.17895316297084748
2016-06-06,-0.23988218704569558
2016-06-07,-0.1241924915978914
2016-06-08,0.022159367074362953
2016-06-09,0.12093378031609169
2016-06-10,0.22644208815869454
2016-06-11,0.21901931849751252
2016-06-12,0.20203538862333983
2016-06-13,0.1924362156955053
2016-06-14,0.2663701632017211
2016-06-15,0.32718720080408964
2016-06-16,0.38917429042373836
2016-06-17,0.40855217060701343
2016-06-18,0.3498339953498167
2016-06-19,0.26746924996172494
2016-06-20,0.18712288502682003
