index,mean
1,0.6720828553849051
2,0.7991139895605572
3,0.8686055718935165
4,0.9070781579948488
5,0.9594293485679097
6,1.0218355008078803
7,1.1003731421554064
8,1.2216105607729637
9,1.318294120259519
10,1.4296476428208893
11,1.456786857310987
12,1.408500949246474
13,1.3883367528556243
14,1.460723610070985
15,1.4413315698473874
16,1.5032740444587402
17,1.5010759895571169
18,1.4801430350355456
19,1.3816077000556546
20,1.3195001818494614
21,1.3013282082449364
22,1.22513446613048
23,1.32316609331211
24,1.4670128072603736
25,1.4446788638642372
26,1.3933775316187487
27,1.225711983790325
28,1.2033146864993873
29,1.2220680760417566
30,1.2630197793882272
31,1.1754641444504905
32,1.0795064458318184
33,1.0196016727590504
34,0.9524839043316385
35,0.8838084730970351
36,0.8081372415537513
37,0.6926891283165835
38,0.6051828983886942
39,0.48798040643970975
40,0.39245700972249026
41,0.26070986373165733
42,0.20118426121576044
43,0.12726573818477835
44,-0.024841429147618034
45,-0.0845057244587671
46,-0.12323094055852898
47,-0.24984018911212794
48,-0.27658842144896234
49,-0.30469368031503336
50,-0.31889593100828123
51,-0.37498100727298145
52,-0.4356706151705635
53,-0.46445089614200946
54,-0.5010237393645122
55,-0.551575413958736
56,-0.5839231270481435
57,-0.6027923505561109
58,-0.6798652587891141
59,-0.7079542413053861
60,-0.7239834078431138
61,-0.7457378240741064
62,-0.7401584003973751
63,-0.7257025343202097
64,-0.7238397486191114
65,-0.7490148718718224
66,-0.7703346812009615
67,-0.7205609150827007
68,-0.7260869228046424
69,-0.7212031700539181
70,-0.7663435160948083
71,-0.7604661357918164
72,-0.7408356917379937
73,-0.7512342114167254
74,-0.7051140781042036
75,-0.700870531255253
76,-0.6954704546090842
77,-0.6838465035689816
78,-0.667111386962713
79,-0.6387574406023823
80,-0.6146106629190465
81,-0.5938481786451121
82,-0.5988298318049831
83,-0.5894795113071792
84,-0.5480659005080327
85,-0.503015514367857
86,-0.46085068872833296
87,-0.4777265571040837
88,-0.4599720153511062
89,-0.45609820054809525
90,-0.4532594649617507
91,-0.45222809409617304
92,-0.4136139644042206
93,-0.3705770520022873
94,-0.3542730616424446
95,-0.3063017659510552
96,-0.3006010471834892
97,-0.3031166164884082
98,-0.30490958175355487
99,-0.27038992691360264
100,-0.26728545536113246
101,-0.3019564884799693
102,-0.31038882886740143
103,-0.32098088779795353
104,-0.33126444459438614
105,-0.34259012900659636
106,-0.3339233004161451
107,-0.358523472912266
108,-0.44795588903848504
109,-0.4951087008318288
110,-0.4822198225748654
111,-0.4732560828618178
112,-0.44363555420113476
113,-0.45403286660463404
114,-0.46564909598578924
115,-0.43195376428132465
116,-0.42886691427638785
117,-0.40482941493421964
118,-0.3738097387050505
119,-0.385768079594468
120,-0.36979213004589384
121,-0.34679746605432704
122,-0.3304763597334045
123,-0.2664433517637343
124,-0.234517337772239
125,-0.2288845323983537
126,-0.23024441496696926
127,-0.23211614244249246
128,-0.23317531503758948
129,-0.23678506162252408
130,-0.2342455274380486
131,-0.6146404342275191
132,-0.6136574530211936
133,-0.5962397814070849
134,-0.6378103064680428
135,-0.5689773951978604
136,-0.5559739428465041
137,-0.5500399350942777
138,-0.6228513022723542
139,-0.6837027386569615
140,-0.7242205802704673
141,-0.7333428114896958
142,-0.7723195022574959
143,-0.8165217753576091
144,-0.8202698309336336
145,-0.9762144036069336
146,-1.0493984012140474
147,-0.9797108646823277
148,-0.9230381582256582
149,-0.8916083108426655
150,-0.8871855238811679
151,-0.8785258472904713
152,-0.9263601378751296
153,-0.933075028054215
154,-0.9427287260326986
155,-0.9312977534081257
156,-0.9319026378217024
157,-0.9407507399287862
158,-0.9182094242435296
159,-0.9268025919284371
160,-0.9107935735115559
161,-0.9127790512074034
162,-0.878303257331379
163,-0.8866444559195265
164,-0.9235750014442129
165,-0.8950063092018758
166,-0.8984442013990444
167,-0.9141351912348353
168,-0.9070117864622494
169,-0.8821248039574012
170,-0.8812315161789066
171,-0.8621713676795062
172,-0.8593754303243699
173,-0.8494725840062567
174,-0.8703202838334235
175,-0.8923413111232683
176,-0.8923344244538349
177,-0.8836325355251196
178,-0.8742886494666099
179,-0.8493818632575671
180,-0.8219626570773411
181,-0.8142865422982019
182,-0.842927954942724
183,-0.840594112390019
184,-0.7972903807324226
185,-0.7841010720497739
186,-0.7468423072071888
187,-0.7102809136155659
188,-0.651025079967849
189,-0.5795023727292392
190,-0.5512526977910028
191,-0.49315521810573604
192,-0.4927565699910615
193,-0.4896014827956661
194,-0.4581398025834006
195,-0.40350735481522193
196,-0.349177240014449
197,-0.3175269977472387
198,-0.26240172578846693
199,-0.20207101639075284
200,-0.16047952654461922
201,-0.12203328429811068
202,-0.09445626221773151
203,-0.03774470988566464
204,0.05078956675709598
205,0.11274605476726515
206,0.14519565508590535
207,0.19130739077442865
208,0.22309091188485708
209,0.23901118455235926
210,0.2543890119370167
211,0.27763505791909504
212,0.30217250015898267
213,0.24468298001827915
214,0.23101737848702666
215,0.22936024977834688
216,0.2675263538016993
217,0.31927548886240265
218,0.4450335794998822
219,0.5322369781039313
220,0.5920596907150552
221,0.63281056568623
222,0.6542850578915678
223,0.6455360483774938
224,0.6582780848439844
225,0.7098616716564757
226,0.7659498676558477
227,0.7667927100409372
228,0.7691878713391631
229,0.8220084328038968
230,0.8895598340153041
231,0.9771295381340628
232,1.1088551194592087
233,1.2238949086638176
234,1.2677308238682619
235,1.3226013663324472
236,1.505843297595042
237,1.5655885959091895
238,1.5791720459297207
239,1.7319396931302355
240,2.013115347463686
241,2.206689013221158
242,2.347594496045051
243,2.3583930177477805
244,2.3877056584386134
245,2.4072647531267743
246,2.3999153408605842
247,2.3435207610965145
248,2.3248473959458895
249,2.2879896290721935
250,2.297459854923739
251,2.34745657652896
252,2.2602924385117618
253,2.1258457734171956
254,2.030774557301709
255,1.8856916985400403
256,1.71940585122111
257,1.5730952232885738
258,1.4294729458633135
259,1.3442518626185473
260,1.292820567510243
261,1.1714522985131721
262,1.0615952421445805
263,1.0426526424087457
264,0.9746095187381082
265,0.9047573577964108
266,0.8506213235079108
267,0.8219095914825489
268,0.7737477777609467
269,0.833575045933291
270,0.8428451674765762
271,0.7791056748775049
272,0.7500359832447764
273,0.6377495157347166
274,0.6045739251974666
275,0.5720995601296632
276,0.4702167856082301
277,0.36807785630956347
278,0.26640217745903083
279,0.16740754798376048
280,0.09899679362794409
281,0.025436032781134932
282,-0.003736740356235821
283,-0.029688468691489223
284,-0.06441202526148829
285,-0.11502841739911442
286,-0.2025643963771375
287,-0.23810712490768488
288,-0.24252687615763366
289,-0.23762483524224626
290,-0.2800399974170281
291,-0.27473761489890763
292,-0.26884499766036674
293,-0.24672983529829087
294,-0.28536307730512767
